Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (synonym)	EC number
Q46835	reviewed	YGHG_ECOLI	Lipoprotein YghG (Putative pilotin YghG)	yghG b2971 JW2938	Escherichia coli (strain K12)	136		b2971 JW2938	yghG		
Q46840	reviewed	YGHO_ECOLI	Protein YghO	yghO b2981 JW5848	Escherichia coli (strain K12)	390		b2981 JW5848	yghO		
Q46841	reviewed	YGHQ_ECOLI	Inner membrane protein YghQ	yghQ b2983 JW5490	Escherichia coli (strain K12)	355		b2983 JW5490	yghQ		
Q46844	reviewed	YGHT_ECOLI	Uncharacterized ATP-binding protein YghT	yghT b2986 JW2954	Escherichia coli (strain K12)	230		b2986 JW2954	yghT		
Q46855	reviewed	YQHC_ECOLI	Uncharacterized HTH-type transcriptional regulator YqhC	yqhC b3010 JW5849	Escherichia coli (strain K12)	318		b3010 JW5849	yqhC		
Q46861	reviewed	YGIQ_ECOLI	UPF0313 protein YgiQ	ygiQ ygiR b4469 JW5501	Escherichia coli (strain K12)	739		b4469 JW5501	ygiQ	ygiR	
Q46866	reviewed	YGIV_ECOLI	Probable transcriptional regulator YgiV	ygiV b3023 JW5502	Escherichia coli (strain K12)	160		b3023 JW5502	ygiV		
Q46867	reviewed	YGIZ_ECOLI	Inner membrane protein YgiZ	ygiZ b3027 JW2995	Escherichia coli (strain K12)	110		b3027 JW2995	ygiZ		
Q46888	reviewed	LTND_ECOLI	L-threonate dehydrogenase (EC 1.1.1.411)	ltnD ygbJ b2736 JW2706	Escherichia coli (strain K12)	302		b2736 JW2706	ltnD	ygbJ	1.1.1.411
Q46889	reviewed	OTNK_ECOLI	3-oxo-tetronate kinase (EC 2.7.1.217) (3-dehydrotetronate 4-kinase)	otnK ygbK b2737 JW2707	Escherichia coli (strain K12)	388		b2737 JW2707	otnK	ygbK	2.7.1.217
Q46892	reviewed	YGBN_ECOLI	Inner membrane permease YgbN	ygbN b2740 JW2710	Escherichia coli (strain K12)	454		b2740 JW2710	ygbN		
Q46904	reviewed	YGCN_ECOLI	Probable electron transfer flavoprotein-quinone oxidoreductase YgcN (EC 1.5.5.-)	ygcN b2766 JW2736	Escherichia coli (strain K12)	423		b2766 JW2736	ygcN		1.5.5.-
Q46905	reviewed	YGCO_ECOLI	Ferredoxin-like protein YgcO	ygcO b2767 JW2737	Escherichia coli (strain K12)	86		b2767 JW2737	ygcO		
Q46907	reviewed	YGCQ_ECOLI	Putative electron transfer flavoprotein subunit YgcQ	ygcQ b2769 JW5440	Escherichia coli (strain K12)	286		b2769 JW5440	ygcQ		
Q46909	reviewed	YGCS_ECOLI	Inner membrane metabolite transport protein YgcS	ygcS b2771 JW5845	Escherichia coli (strain K12)	445		b2771 JW5845	ygcS		
Q46942	reviewed	YQEI_ECOLI	Uncharacterized protein YqeI	yqeI b2847 JW2815	Escherichia coli (strain K12)	269		b2847 JW2815	yqeI		
Q47147	reviewed	YAFJ_ECOLI	Putative glutamine amidotransferase YafJ (EC 2.4.2.-)	yafJ b0223 JW0213	Escherichia coli (strain K12)	255		b0223 JW0213	yafJ		2.4.2.-
Q47151	reviewed	YAFL_ECOLI	Probable endopeptidase YafL (EC 3.4.-.-) (Uncharacterized lipoprotein YafL)	yafL b0227 JW0217	Escherichia coli (strain K12)	249		b0227 JW0217	yafL		3.4.-.-
Q47153	reviewed	LFHA_ECOLI	Putative truncated flagellar export/assembly protein LfhA	lfhA fhiA b0229 JW5811	Escherichia coli (strain K12)	579		b0229 JW5811	lfhA	fhiA	
Q47154	reviewed	LAFU_ECOLI	Putative truncated flagellar export/assembly protein LafU	lafU mbhA b0230 JW5812	Escherichia coli (strain K12)	211		b0230 JW5812	lafU	mbhA	
Q47158	reviewed	YAFP_ECOLI	Uncharacterized N-acetyltransferase YafP (EC 2.3.1.-)	yafP b0234 JW0224	Escherichia coli (strain K12)	150		b0234 JW0224	yafP		2.3.1.-
Q47269	reviewed	YBCN_ECOLI	Uncharacterized protein YbcN	ybcN b0547 JW0535	Escherichia coli (strain K12)	151		b0547 JW0535	ybcN		
Q47274	reviewed	REQ1_ECOLI	Prophage antitermination protein Q homolog QuuD (Antitermination protein Q homolog from lambdoid prophage DLP12)	quuD ybcQ b0551 JW0539	Escherichia coli (strain K12)	127		b0551 JW0539	quuD	ybcQ	
Q47534	reviewed	YAIO_ECOLI	Outer membrane protein YaiO	yaiO b0358 JW0349	Escherichia coli (strain K12)	257		b0358 JW0349	yaiO		
Q47536	reviewed	YAIP_ECOLI	Uncharacterized glycosyltransferase YaiP (EC 2.4.-.-)	yaiP b0363 JW0355	Escherichia coli (strain K12)	398		b0363 JW0355	yaiP		2.4.-.-
Q47679	reviewed	YAFV_ECOLI	Omega-amidase YafV (EC 3.5.1.3)	yafV b0219 JW5019	Escherichia coli (strain K12)	256		b0219 JW5019	yafV		3.5.1.3
Q47684	reviewed	YAFW_ECOLI	Antitoxin YafW	yafW b0246 JW0235	Escherichia coli (strain K12)	105		b0246 JW0235	yafW		
Q47685	reviewed	YKFG_ECOLI	UPF0758 protein YkfG	ykfG b0247 JW0236	Escherichia coli (strain K12)	158		b0247 JW0236	ykfG		
Q47688	reviewed	YKFC_ECOLI	Protein YkfC	ykfC b0258 JW5813	Escherichia coli (strain K12)	381		b0258 JW5813	ykfC		
Q47718	reviewed	INSO2_ECOLI	Putative transposase InsO for insertion sequence element IS911B	insO2 b4285	Escherichia coli (strain K12)	198		b4285	insO2		
Q57154	reviewed	REPB_ECOLI	RepFIB replication protein A	repB repA ECOK12F033	Escherichia coli (strain K12)	325		ECOK12F033	repB	repA	
Q6BF25	reviewed	LDRD_ECOLI	Small toxic polypeptide LdrD	ldrD b4453 JW5966	Escherichia coli (strain K12)	35		b4453 JW5966	ldrD		
Q6BF87	reviewed	LDRB_ECOLI	Small toxic polypeptide LdrB	ldrB b4421 JW5958	Escherichia coli (strain K12)	35		b4421 JW5958	ldrB		
Q79E92	reviewed	YKGN_ECOLI	Putative transposase YkgN	ykgN b4505 JW0258	Escherichia coli (strain K12)	112		b4505 JW0258	ykgN		
Q9JMS5	reviewed	YUAO_ECOLI	Uncharacterized protein YuaO	yuaO ycbB ECOK12F026	Escherichia coli (strain K12)	1758		ECOK12F026	yuaO	ycbB	
Q9JMT3	reviewed	INSF7_ECOLI	Transposase InsF for insertion sequence IS3fB	insF7 ybfB ECOK12F017	Escherichia coli (strain K12)	288		ECOK12F017	insF7	ybfB	
Q9JMT8	reviewed	YUAB_ECOLI	Uncharacterized HTH-type transcriptional regulator YuaB	yuaB ybaA ECOK12F011	Escherichia coli (strain K12)	353		ECOK12F011	yuaB	ybaA	
Q9S4W2	reviewed	YUBM_ECOLI	Uncharacterized protein YubM	yubM yfjB ECOK12F062	Escherichia coli (strain K12)	652		ECOK12F062	yubM	yfjB	
Q9S4X2	reviewed	YUBD_ECOLI	Putative methylase YubD (EC 2.1.1.-) (Type II methyltransferase M.EcoCR63FORFAP) (M.EcoCR63FORFAP)	yubD yfeA ECOK12F052	Escherichia coli (strain K12)	227		ECOK12F052	yubD	yfeA	2.1.1.-
U3PVA8	reviewed	IROK_ECOLI	Protein IroK (3-hydroxypropionic acid resistance peptide)	iroK b4706	Escherichia coli (strain K12)	21		b4706	iroK		
A0A0A6YVN8	unreviewed	A0A0A6YVN8_ECOLI	D-tagatose 3-epimerase	D-tagatose 3-epimerase	Escherichia coli (strain K12)	298	D-tagatose 3-epimerase				
A0A0G3HHZ6	unreviewed	A0A0G3HHZ6_ECOLI	Gamma-glutamylputrescine synthetase	puuA	Escherichia coli (strain K12)	472			puuA		
A0A0G3HK66	unreviewed	A0A0G3HK66_ECOLI	Acetyltransferase (EC 2.3.1.-)		Escherichia coli (strain K12)	203					2.3.1.-
A0A0G3HLV0	unreviewed	A0A0G3HLV0_ECOLI	Gamma-glutamyl-gamma-aminobutyrate hydrolase	puuD	Escherichia coli (strain K12)	254			puuD		
A0A0G3HVX2	unreviewed	A0A0G3HVX2_ECOLI	Gamma-aminobutyrate aminotransferase	puuE	Escherichia coli (strain K12)	421			puuE		
A0A0G3HZV6	unreviewed	A0A0G3HZV6_ECOLI	Transcriptional repressor	puuR	Escherichia coli (strain K12)	185			puuR		
A0A0G3I6S6	unreviewed	A0A0G3I6S6_ECOLI	Fructoselysine-6-kinase	frlD	Escherichia coli (strain K12)	261			frlD		
A0A0N9YI43	unreviewed	A0A0N9YI43_ECOLI	FimE	fimE	Escherichia coli str. K-12 substr. MG1655	198			fimE		
A0A0S1EZS3	unreviewed	A0A0S1EZS3_ECOLI	Arsenical pump membrane protein	yfjV	Escherichia coli (strain K12)	66			yfjV		
A0A0S2ZYI3	unreviewed	A0A0S2ZYI3_ECOLI	FimE	fimE	Escherichia coli str. K-12 substr. MG1655	198			fimE		
A0A0S2ZZ78	unreviewed	A0A0S2ZZ78_ECOLI	FimE	fimE	Escherichia coli str. K-12 substr. MG1655	198			fimE		
A0A0T7C0U2	unreviewed	A0A0T7C0U2_ECOLI	Predicted inner membrane protein	ypjL	Escherichia coli (strain K12)	172			ypjL		
A0A1Z1W292	unreviewed	A0A1Z1W292_ECOW3	Proline-4-hydroxylase (EC 1.14.16.1)		Escherichia coli (strain K12 / W3110 / ATCC 27325 / DSM 5911)	272					1.14.16.1
A0A223DQQ4	unreviewed	A0A223DQQ4_ECOLI	YhaB	yhaB	Escherichia coli str. K-12 substr. MG1655	100			yhaB		
A0A223DQQ5	unreviewed	A0A223DQQ5_ECOLI	EexN family lipoprotein		Escherichia coli str. K-12 substr. MG1655	74					
A0A223DQQ7	unreviewed	A0A223DQQ7_ECOLI	TraA	traA	Escherichia coli str. K-12 substr. MG1655	331			traA		
A0A223DQQ9	unreviewed	A0A223DQQ9_ECOLI	PilL	pilL	Escherichia coli str. K-12 substr. MG1655	411			pilL		
A0A223DQR0	unreviewed	A0A223DQR0_ECOLI	YgiA	ygiA	Escherichia coli str. K-12 substr. MG1655	237			ygiA		
A0A223DQR1	unreviewed	A0A223DQR1_ECOLI	KikA	kikA	Escherichia coli str. K-12 substr. MG1655	99			kikA		
A0A223DQR3	unreviewed	A0A223DQR3_ECOLI	YggB	yggB	Escherichia coli str. K-12 substr. MG1655	211			yggB		
A0A223DQR7	unreviewed	A0A223DQR7_ECOLI	TraC	traC	Escherichia coli str. K-12 substr. MG1655	96			traC		
A0A223DQR8	unreviewed	A0A223DQR8_ECOLI	TraE	traE	Escherichia coli str. K-12 substr. MG1655	785			traE		
A0A223DQR9	unreviewed	A0A223DQR9_ECOLI	TraG	traG	Escherichia coli str. K-12 substr. MG1655	244			traG		
A0A223DQS0	unreviewed	A0A223DQS0_ECOLI	TraI	traI	Escherichia coli str. K-12 substr. MG1655	379			traI		
A0A223DQS1	unreviewed	A0A223DQS1_ECOLI	TraH	traH	Escherichia coli str. K-12 substr. MG1655	233			traH		
A0A223DQS2	unreviewed	A0A223DQS2_ECOLI	YgeA	ygeA	Escherichia coli str. K-12 substr. MG1655	132			ygeA		
A0A223DQS3	unreviewed	A0A223DQS3_ECOLI	TraF	traF	Escherichia coli str. K-12 substr. MG1655	44			traF		
A0A223DQS4	unreviewed	A0A223DQS4_ECOLI	YhaA	yhaA	Escherichia coli str. K-12 substr. MG1655	85			yhaA		
A0A223DQS5	unreviewed	A0A223DQS5_ECOLI	TrbJ	trbJ	Escherichia coli str. K-12 substr. MG1655	214			trbJ		
A0A223DQS7	unreviewed	A0A223DQS7_ECOLI	PilS	pilS	Escherichia coli str. K-12 substr. MG1655	185			pilS		
A0A223DQS8	unreviewed	A0A223DQS8_ECOLI	PilU	pilU	Escherichia coli str. K-12 substr. MG1655	211			pilU		
A0A223DQS9	unreviewed	A0A223DQS9_ECOLI	PilQ	pilQ	Escherichia coli str. K-12 substr. MG1655	512			pilQ		
A0A223DQT0	unreviewed	A0A223DQT0_ECOLI	PilO	pilO	Escherichia coli str. K-12 substr. MG1655	373			pilO		
A0A223DQT1	unreviewed	A0A223DQT1_ECOLI	PilT	pilT	Escherichia coli str. K-12 substr. MG1655	160			pilT		
A0A223DQT2	unreviewed	A0A223DQT2_ECOLI	TraK	traK	Escherichia coli str. K-12 substr. MG1655	652			traK		
A0A223DQT3	unreviewed	A0A223DQT3_ECOLI	TraB	traB	Escherichia coli str. K-12 substr. MG1655	194			traB		
A0A223DQT4	unreviewed	A0A223DQT4_ECOLI	PilQ	pilR	Escherichia coli str. K-12 substr. MG1655	369			pilR		
A0A223DQT5	unreviewed	A0A223DQT5_ECOLI	YdiA	ydiA	Escherichia coli str. K-12 substr. MG1655	191			ydiA		
A0A223DQT6	unreviewed	A0A223DQT6_ECOLI	TraD	traD	Escherichia coli str. K-12 substr. MG1655	106			traD		
A0A223DQT7	unreviewed	A0A223DQT7_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	37					
A0A223DQT8	unreviewed	A0A223DQT8_ECOLI	PilM	pilM	Escherichia coli str. K-12 substr. MG1655	145			pilM		
A0A223DQT9	unreviewed	A0A223DQT9_ECOLI	YdfA	ydfA	Escherichia coli str. K-12 substr. MG1655	68			ydfA		
A0A223DQU0	unreviewed	A0A223DQU0_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	89					
A0A223DQU1	unreviewed	A0A223DQU1_ECOLI	YeaA	yeaA	Escherichia coli str. K-12 substr. MG1655	171			yeaA		
A0A223DQU2	unreviewed	A0A223DQU2_ECOLI	Rci	rci	Escherichia coli str. K-12 substr. MG1655	374			rci		
A0A223DQU3	unreviewed	A0A223DQU3_ECOLI	Prophage protein		Escherichia coli str. K-12 substr. MG1655	108					
A0A223DQU4	unreviewed	A0A223DQU4_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	235					
A0A223DQU5	unreviewed	A0A223DQU5_ECOLI	PilP	pilP	Escherichia coli str. K-12 substr. MG1655	171			pilP		
A0A223DQU7	unreviewed	A0A223DQU7_ECOLI	PilN	pilN	Escherichia coli str. K-12 substr. MG1655	547			pilN		
A0A223DQU9	unreviewed	A0A223DQU9_ECOLI	Prophage protein		Escherichia coli str. K-12 substr. MG1655	65					
A0A223DQV0	unreviewed	A0A223DQV0_ECOLI	Prophage protein		Escherichia coli str. K-12 substr. MG1655	69					
A0A223DQV1	unreviewed	A0A223DQV1_ECOLI	Zinc transporter		Escherichia coli str. K-12 substr. MG1655	133					
A0A223DQV2	unreviewed	A0A223DQV2_ECOLI	NikB	nikB	Escherichia coli str. K-12 substr. MG1655	1400			nikB		
A0A223DQV3	unreviewed	A0A223DQV3_ECOLI	YaiB	yaiB	Escherichia coli str. K-12 substr. MG1655	86			yaiB		
A0A223DQV4	unreviewed	A0A223DQV4_ECOLI	YdjA	ydjA	Escherichia coli str. K-12 substr. MG1655	558			ydjA		
A0A223DQV5	unreviewed	A0A223DQV5_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	44					
A0A223DQV6	unreviewed	A0A223DQV6_ECOLI	Secreted protein		Escherichia coli str. K-12 substr. MG1655	71					
A0A223DQV7	unreviewed	A0A223DQV7_ECOLI	YajA	yajA	Escherichia coli str. K-12 substr. MG1655	83			yajA		
A0A223DQV8	unreviewed	A0A223DQV8_ECOLI	PilV	pilV	Escherichia coli str. K-12 substr. MG1655	417			pilV		
A0A223DQV9	unreviewed	A0A223DQV9_ECOLI	YebA	yebA	Escherichia coli str. K-12 substr. MG1655	217			yebA		
A0A223DQW0	unreviewed	A0A223DQW0_ECOLI	YcgB	ycgB	Escherichia coli str. K-12 substr. MG1655	149			ycgB		
A0A223DQW1	unreviewed	A0A223DQW1_ECOLI	HicB	hicB	Escherichia coli str. K-12 substr. MG1655	88			hicB		
A0A223DQW2	unreviewed	A0A223DQW2_ECOLI	YcfA	ycfA	Escherichia coli str. K-12 substr. MG1655	60			ycfA		
A0A223DQW3	unreviewed	A0A223DQW3_ECOLI	YafA	yafA	Escherichia coli str. K-12 substr. MG1655	94			yafA		
A0A223DQW4	unreviewed	A0A223DQW4_ECOLI	TraL	traL	Escherichia coli str. K-12 substr. MG1655	250			traL		
A0A223DQW5	unreviewed	A0A223DQW5_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	54					
A0A223DQW6	unreviewed	A0A223DQW6_ECOLI	ParA	parA	Escherichia coli str. K-12 substr. MG1655	221			parA		
A0A223DQW7	unreviewed	A0A223DQW7_ECOLI	YagA	yagA	Escherichia coli str. K-12 substr. MG1655	109			yagA		
A0A223DQW8	unreviewed	A0A223DQW8_ECOLI	YajC	yajC	Escherichia coli str. K-12 substr. MG1655	92			yajC		
A0A223DQW9	unreviewed	A0A223DQW9_ECOLI	NikA	nikA	Escherichia coli str. K-12 substr. MG1655	113			nikA		
A0A223DQX0	unreviewed	A0A223DQX0_ECOLI	YddA	yddA	Escherichia coli str. K-12 substr. MG1655	146			yddA		
A0A223DQX1	unreviewed	A0A223DQX1_ECOLI	YaiA	yaiA	Escherichia coli str. K-12 substr. MG1655	69			yaiA		
A0A223DQX3	unreviewed	A0A223DQX3_ECOLI	Secreted protein		Escherichia coli str. K-12 substr. MG1655	71					
A0A223DQX4	unreviewed	A0A223DQX4_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	45					
A0A223DQX5	unreviewed	A0A223DQX5_ECOLI	YceB	yceB	Escherichia coli str. K-12 substr. MG1655	147			yceB		
A0A223DQX6	unreviewed	A0A223DQX6_ECOLI	YcfB	ycfB	Escherichia coli str. K-12 substr. MG1655	145			ycfB		
A0A223DQX7	unreviewed	A0A223DQX7_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	51					
A0A223DQX8	unreviewed	A0A223DQX8_ECOLI	TnpA	tnpA	Escherichia coli str. K-12 substr. MG1655	112			tnpA		
A0A223DQX9	unreviewed	A0A223DQX9_ECOLI	Transposase zinc-binding domain-containing protein		Escherichia coli str. K-12 substr. MG1655	399					
A0A223DQY0	unreviewed	A0A223DQY0_ECOLI	Transposase		Escherichia coli str. K-12 substr. MG1655	62					
A0A223DQY1	unreviewed	A0A223DQY1_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	46					
A0A223DQY2	unreviewed	A0A223DQY2_ECOLI	YadA	yadA	Escherichia coli str. K-12 substr. MG1655	201			yadA		
A0A223DQY3	unreviewed	A0A223DQY3_ECOLI	DUF1472 domain-containing protein		Escherichia coli str. K-12 substr. MG1655	48					
A0A223DQY4	unreviewed	A0A223DQY4_ECOLI	YahA	yahA	Escherichia coli str. K-12 substr. MG1655	107			yahA		
A0A223DQY5	unreviewed	A0A223DQY5_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	74					
A0A223DQY6	unreviewed	A0A223DQY6_ECOLI	Protein QmcA	ydhA	Escherichia coli str. K-12 substr. MG1655	325			ydhA		
A0A223DQY8	unreviewed	A0A223DQY8_ECOLI	DUF4870 domain-containing protein		Escherichia coli str. K-12 substr. MG1655	99					
A0A223DQY9	unreviewed	A0A223DQY9_ECOLI	Modulator of Hok protein		Escherichia coli str. K-12 substr. MG1655	71					
A0A223DQZ0	unreviewed	A0A223DQZ0_ECOLI	YheC	yheC	Escherichia coli str. K-12 substr. MG1655	168			yheC		
A0A223DQZ1	unreviewed	A0A223DQZ1_ECOLI	YaeC	yaeC	Escherichia coli str. K-12 substr. MG1655	198			yaeC		
A0A223DQZ2	unreviewed	A0A223DQZ2_ECOLI	YhcA	yhcA	Escherichia coli str. K-12 substr. MG1655	147			yhcA		
A0A223DQZ4	unreviewed	A0A223DQZ4_ECOLI	YheB	yheB	Escherichia coli str. K-12 substr. MG1655	64			yheB		
A0A223DQZ5	unreviewed	A0A223DQZ5_ECOLI	YadB	yadB	Escherichia coli str. K-12 substr. MG1655	173			yadB		
A0A223DQZ7	unreviewed	A0A223DQZ7_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	48					
A0A223DR00	unreviewed	A0A223DR00_ECOLI	Replication initiation protein	repA	Escherichia coli str. K-12 substr. MG1655	246			repA		
A0A223DR02	unreviewed	A0A223DR02_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	110					
A0A223DR03	unreviewed	A0A223DR03_ECOLI	Transposase		Escherichia coli str. K-12 substr. MG1655	72					
A0A223DR06	unreviewed	A0A223DR06_ECOLI	YhbB	yhbB	Escherichia coli str. K-12 substr. MG1655	220			yhbB		
A0A223DR15	unreviewed	A0A223DR15_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	60					
A0A223DR27	unreviewed	A0A223DR27_ECOLI	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase		Escherichia coli str. K-12 substr. MG1655	53					
A0A223DR37	unreviewed	A0A223DR37_ECOLI	Uncharacterized protein		Escherichia coli str. K-12 substr. MG1655	56					
A0A385XJK5	reviewed	YPAB_ECOLI	Protein YpaB	ypaB b4605	Escherichia coli (strain K12)	47		b4605	ypaB		
A0A385XJL2	reviewed	YGDT_ECOLI	Protein YgdT	ygdT b4610	Escherichia coli (strain K12)	48		b4610	ygdT		
A0A3G0QC22	unreviewed	A0A3G0QC22_ECOLI	Transposase IS4-like domain-containing protein	yncM	Escherichia coli (strain K12)	66			yncM		
A0A4D6FVK6	unreviewed	A0A4D6FVK6_ECOLI	MCHERRY	mCherry	Escherichia coli str. K-12 substr. MG1655	236			mCherry		
A0A4D6FVL5	unreviewed	A0A4D6FVL5_ECOLI	LacI	lacI	Escherichia coli str. K-12 substr. MG1655	360			lacI		
A0A4D6FVN4	unreviewed	A0A4D6FVN4_ECOLI	MalR-CelR	malR-celR	Escherichia coli str. K-12 substr. MG1655	339			malR-celR		
A0A4D6FVT4	unreviewed	A0A4D6FVT4_ECOLI	Ribose operon repressor	rbsR	Escherichia coli str. K-12 substr. MG1655	330			rbsR		
A0A4D6FVZ7	unreviewed	A0A4D6FVZ7_ECOLI	Ribose operon repressor	malR-rbsR	Escherichia coli str. K-12 substr. MG1655	334			malR-rbsR		
A0A4D6FW43	unreviewed	A0A4D6FW43_ECOLI	GFP	gfp	Escherichia coli str. K-12 substr. MG1655	238			gfp		
A0A4D6FXC7	unreviewed	A0A4D6FXC7_ECOLI	TetR	tetR	Escherichia coli str. K-12 substr. MG1655	207			tetR		
A0A4D6FYT2	unreviewed	A0A4D6FYT2_ECOLI	RbsR-CelR	rbsR-celR	Escherichia coli str. K-12 substr. MG1655	335			rbsR-celR		
A0A6D1P133	unreviewed	A0A6D1P133_ECOW3	Fumarate reductase subunit D	frdD	Escherichia coli (strain K12 / W3110 / ATCC 27325 / DSM 5911)	71			frdD		
A0A6D1P2M9	unreviewed	A0A6D1P2M9_ECOW3	BlaEC family beta-lactamase		Escherichia coli (strain K12 / W3110 / ATCC 27325 / DSM 5911)	24					
A0A6G6FTN6	unreviewed	A0A6G6FTN6_ECOLI	ChiA	chiA	Escherichia coli (strain K12)	595			chiA		
A0A6G6FTV1	unreviewed	A0A6G6FTV1_ECOLI	FimH	fimH	Escherichia coli (strain K12)	265			fimH		
A0A7S8ZWG7	unreviewed	A0A7S8ZWG7_ECOW3	Flagellar basal-body rod protein	flgG	Escherichia coli (strain K12 / W3110 / ATCC 27325 / DSM 5911)	152			flgG		
A0A8A4RV05	unreviewed	A0A8A4RV05_ECOLI	ATP-dependent Clp protease proteolytic subunit	ICJKHHIM_00005	Escherichia coli str. K-12 substr. MG1655	205	ICJKHHIM_00005				
A0A8A4RV23	unreviewed	A0A8A4RV23_ECOLI	Type VI secretion protein	ICJKHHIM_00015	Escherichia coli str. K-12 substr. MG1655	42	ICJKHHIM_00015				
A0A8A4RV34	unreviewed	A0A8A4RV34_ECOLI	Nucleoid occlusion protein	noc ICJKHHIM_00025	Escherichia coli str. K-12 substr. MG1655	393	ICJKHHIM_00025		noc		
A0A8A4RV45	unreviewed	A0A8A4RV45_ECOLI	DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37)	ICJKHHIM_00035	Escherichia coli str. K-12 substr. MG1655	475	ICJKHHIM_00035				2.1.1.37
A0A8A4RV57	unreviewed	A0A8A4RV57_ECOLI	Uncharacterized domain-containing protein	ICJKHHIM_00045	Escherichia coli str. K-12 substr. MG1655	992	ICJKHHIM_00045				
A0A8A4RV67	unreviewed	A0A8A4RV67_ECOLI	Pilus assembly protein	ICJKHHIM_00055	Escherichia coli str. K-12 substr. MG1655	208	ICJKHHIM_00055				
A0A8A4RV79	unreviewed	A0A8A4RV79_ECOLI	Signal peptidase I (Leader peptidase I)	ICJKHHIM_00065	Escherichia coli str. K-12 substr. MG1655	176	ICJKHHIM_00065				
A0A8A4RV92	unreviewed	A0A8A4RV92_ECOLI	Aerobic cobaltochelatase subunit CobS (EC 6.6.1.2)	cobS ICJKHHIM_00075	Escherichia coli str. K-12 substr. MG1655	322	ICJKHHIM_00075		cobS		6.6.1.2
A0A8A4RVA2	unreviewed	A0A8A4RVA2_ECOLI	Tn3 family transposase TnAs2	ICJKHHIM_00009	Escherichia coli str. K-12 substr. MG1655	990	ICJKHHIM_00009				
A0A8A4RVA7	unreviewed	A0A8A4RVA7_ECOLI	DNA adenine modification methylase	ICJKHHIM_00085	Escherichia coli str. K-12 substr. MG1655	294	ICJKHHIM_00085				
A0A8A4RVB5	unreviewed	A0A8A4RVB5_ECOLI	IS6 family transposase IS26	ICJKHHIM_00012 ICJKHHIM_00019 ICJKHHIM_00170	Escherichia coli str. K-12 substr. MG1655	234	ICJKHHIM_00012 ICJKHHIM_00019 ICJKHHIM_00170				
A0A8A4RVB7	unreviewed	A0A8A4RVB7_ECOLI	Uncharacterized protein	ICJKHHIM_00095	Escherichia coli str. K-12 substr. MG1655	143	ICJKHHIM_00095				
A0A8A4RVC5	unreviewed	A0A8A4RVC5_ECOLI	Uncharacterized protein	ICJKHHIM_00029	Escherichia coli str. K-12 substr. MG1655	125	ICJKHHIM_00029				
A0A8A4RVC9	unreviewed	A0A8A4RVC9_ECOLI	Uncharacterized protein	ICJKHHIM_00105	Escherichia coli str. K-12 substr. MG1655	48	ICJKHHIM_00105				
A0A8A4RVD8	unreviewed	A0A8A4RVD8_ECOLI	Phage head-tail adapter protein	ICJKHHIM_00039	Escherichia coli str. K-12 substr. MG1655	205	ICJKHHIM_00039				
A0A8A4RVE2	unreviewed	A0A8A4RVE2_ECOLI	Uncharacterized protein	ICJKHHIM_00115	Escherichia coli str. K-12 substr. MG1655	80	ICJKHHIM_00115				
A0A8A4RVE7	unreviewed	A0A8A4RVE7_ECOLI	Uncharacterized protein	ICJKHHIM_00049	Escherichia coli str. K-12 substr. MG1655	148	ICJKHHIM_00049				
A0A8A4RVF6	unreviewed	A0A8A4RVF6_ECOLI	DNA-binding protein	tus ICJKHHIM_00125	Escherichia coli str. K-12 substr. MG1655	291	ICJKHHIM_00125		tus		
A0A8A4RVF8	unreviewed	A0A8A4RVF8_ECOLI	Conjugal transfer protein TraA	ICJKHHIM_00059	Escherichia coli str. K-12 substr. MG1655	127	ICJKHHIM_00059				
A0A8A4RVG8	unreviewed	A0A8A4RVG8_ECOLI	Transcriptional regulator	ICJKHHIM_00135	Escherichia coli str. K-12 substr. MG1655	202	ICJKHHIM_00135				
A0A8A4RVH1	unreviewed	A0A8A4RVH1_ECOLI	Conjugal transfer mating pair stabilization protein TraN	ICJKHHIM_00069	Escherichia coli str. K-12 substr. MG1655	932	ICJKHHIM_00069				
A0A8A4RVH9	unreviewed	A0A8A4RVH9_ECOLI	Phosphoadenosine phosphosulphate reductase domain-containing protein	ICJKHHIM_00145	Escherichia coli str. K-12 substr. MG1655	371	ICJKHHIM_00145				
