Entry,Gene Ontology (GO)
P39939,cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosome assembly [GO:0042255]; rRNA export from nucleus [GO:0006407]
P39953,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; NAD transmembrane transporter activity [GO:0051724]; mitochondrial NAD transmembrane transport [GO:1990549]; NAD transmembrane transport [GO:0035352]
P39954,cytoplasm [GO:0005737]; cytosol [GO:0005829]; adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]; phosphatidylcholine biosynthetic process [GO:0006656]; S-adenosylhomocysteine catabolic process [GO:0019510]; S-adenosylmethionine cycle [GO:0033353]; triglyceride metabolic process [GO:0006641]
P39970,"nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]"
P39980,cytoplasmic vesicle [GO:0031410]; endosome [GO:0005768]; endosome membrane [GO:0010008]; fungal-type vacuole [GO:0000324]; vacuolar membrane [GO:0005774]; siderophore uptake transmembrane transporter activity [GO:0015344]; siderophore-iron transmembrane transporter activity [GO:0015343]; intracellular iron ion homeostasis [GO:0006879]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]
P39983,
P39987,cytoplasm [GO:0005737]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; protein targeting to mitochondrion [GO:0006626]
P39988,cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyridoxal kinase activity [GO:0008478]; cell cycle [GO:0007049]; phosphorylation [GO:0016310]; pyridoxal 5'-phosphate salvage [GO:0009443]; pyridoxal phosphate biosynthetic process [GO:0042823]
P39994,cytoplasm [GO:0005737]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; carbon-carbon lyase activity [GO:0016830]; carboxy-lyase activity [GO:0016831]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; fatty acid alpha-oxidation [GO:0001561]
P40003,BLOC-1 complex [GO:0031083]; cytoplasm [GO:0005737]; endosome [GO:0005768]; vacuole [GO:0005773]; endosome organization [GO:0007032]; regulation of protein localization [GO:0032880]
P40004,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; UDP-N-acetylglucosamine transmembrane transporter activity [GO:0005462]; carbohydrate transport [GO:0008643]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; transmembrane transport [GO:0055085]; UDP-glucose transmembrane transport [GO:0015786]; UDP-N-acetylglucosamine transmembrane transport [GO:1990569]
P40005,cytoplasm [GO:0005737]; prefoldin complex [GO:0016272]; protein folding chaperone [GO:0044183]; tubulin binding [GO:0015631]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; tubulin complex assembly [GO:0007021]
P40007,"nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]"
P40012,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]
P40017,cytoplasm [GO:0005737]; cytosol [GO:0005829]; carnitine O-acetyltransferase activity [GO:0004092]; alcohol metabolic process [GO:0006066]; carnitine metabolic process [GO:0009437]; fatty acid metabolic process [GO:0006631]
P40020,cellular bud neck [GO:0005935]; mRNA processing [GO:0006397]
P40023,"cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation in response to stress [GO:0032056]"
P40025,cytoplasm [GO:0005737]; nucleus [GO:0005634]; lysophosphatidic acid phosphatase activity [GO:0052642]; nucleotidase activity [GO:0008252]; cellular response to phosphate starvation [GO:0016036]; nucleotide catabolic process [GO:0009166]; pyrimidine nucleobase metabolic process [GO:0006206]; response to carbon starvation [GO:0090549]; triglyceride homeostasis [GO:0070328]
P40026,"chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; Smc5-Smc6 complex [GO:0030915]; chromatin looping [GO:0140588]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; protein sumoylation [GO:0016925]; regulation of telomere maintenance [GO:0032204]"
P40029,cytoplasm [GO:0005737]; nucleus [GO:0005634]; L-methionine-(S)-S-oxide reductase activity [GO:0036456]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; cellular response to oxidative stress [GO:0034599]
P40030,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; protein-macromolecule adaptor activity [GO:0030674]; ergosterol biosynthetic process [GO:0006696]
P40031,cytosol [GO:0005829]; prospore membrane [GO:0005628]; ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]; ascospore-type prospore membrane formation [GO:0032120]
P40033,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]; translation [GO:0006412]
P40035,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; copper ion transmembrane transporter activity [GO:0005375]; inorganic phosphate transmembrane transporter activity [GO:0005315]; copper ion transmembrane transport [GO:0035434]; intracellular copper ion homeostasis [GO:0006878]; mitochondrial phosphate ion transmembrane transport [GO:1990547]; phosphate ion transmembrane transport [GO:0035435]
P40037,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; deaminase activity [GO:0019239]; organonitrogen compound catabolic process [GO:1901565]
P40038,cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; glycogen metabolic process [GO:0005977]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]
P40040,nucleus [GO:0005634]; chromatin binding [GO:0003682]; double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein-RNA complex assembly [GO:0022618]; transcription elongation by RNA polymerase II [GO:0006368]
P40043,cell periphery [GO:0071944]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; energy reserve metabolic process [GO:0006112]
P40051,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; protein processing [GO:0016485]; protein stabilization [GO:0050821]; proteolysis [GO:0006508]
P40071,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; intracellular copper ion homeostasis [GO:0006878]; invasive growth in response to glucose limitation [GO:0001403]; monoatomic ion transport [GO:0006811]; protein localization to membrane [GO:0072657]; pseudohyphal growth [GO:0007124]; vacuolar transport [GO:0007034]
P40074,fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; L-arginine transmembrane transporter activity [GO:0061459]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-serine transmembrane transporter activity [GO:0015194]; L-tyrosine transmembrane transporter activity [GO:0005302]; amino acid transmembrane export from vacuole [GO:0032974]; amino acid transmembrane transport [GO:0003333]; transmembrane transport [GO:0055085]
P40077,cellular bud neck [GO:0005935]; G-protein beta/gamma-subunit complex binding [GO:0031683]; cell cycle [GO:0007049]; cell wall organization [GO:0071555]; invasive growth in response to glucose limitation [GO:0001403]; regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0010969]; septum digestion after cytokinesis [GO:0000920]
P40079,"nucleolus [GO:0005730]; small nuclear ribonucleoprotein complex [GO:0030532]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]"
P40080,cytoplasm [GO:0005737]; endosome [GO:0005768]; ATPase activator activity [GO:0001671]; protein transport [GO:0015031]; vacuolar transport [GO:0007034]
P40085,cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; protein folding in endoplasmic reticulum [GO:0034975]
P40088,high-affinity iron permease complex [GO:0033573]; plasma membrane [GO:0005886]; ferrous iron transmembrane transporter activity [GO:0015093]; iron ion transmembrane transporter activity [GO:0005381]; arsenate ion transmembrane transport [GO:1901684]; iron ion import across cell outer membrane [GO:0098706]; iron ion transmembrane transport [GO:0034755]
P40092,cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; side of membrane [GO:0098552]; structural constituent of cell wall [GO:0005199]; fungal-type cell wall organization [GO:0031505]; response to acidic pH [GO:0010447]
P40099,mitochondrion [GO:0005739]; 5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272]; ATP binding [GO:0005524]; folic acid-containing compound biosynthetic process [GO:0009396]; tetrahydrofolate interconversion [GO:0035999]
P40105,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA helicase activity [GO:0003678]; nucleic acid binding [GO:0003676]; telomere maintenance via recombination [GO:0000722]
P40151,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; metal ion binding [GO:0046872]; single-stranded DNA helicase activity [GO:0017116]; DNA replication, Okazaki fragment processing [GO:0033567]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-templated DNA replication [GO:0006261]; regulation of DNA repair [GO:0006282]"
P40154,Ino80 complex [GO:0031011]; nucleus [GO:0005634]; DNA binding [GO:0003677]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; regulation of DNA-templated transcription [GO:0006355]
P40165,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nucleotide binding [GO:0000166]; nicotinamide nucleotide metabolic process [GO:0046496]
P40169,cell cortex [GO:0005938]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ascospore formation [GO:0030437]; cortical actin cytoskeleton organization [GO:0030866]; endocytosis [GO:0006897]; fungal-type cell wall organization [GO:0031505]; septin cytoskeleton organization [GO:0032185]
P40185,cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; deaminase activity [GO:0019239]; isoleucine biosynthetic process [GO:0009097]; mitochondrial translation [GO:0032543]; organonitrogen compound catabolic process [GO:1901565]
P40207,cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]; ergosterol biosynthetic process [GO:0006696]; intracellular iron ion homeostasis [GO:0006879]; mitochondrion organization [GO:0007005]
P40212,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; macroautophagy [GO:0016236]
P40219,membrane [GO:0016020]; ascospore wall assembly [GO:0030476]
P40260,endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; ammonium transmembrane transporter activity [GO:0008519]; ammonium transmembrane transport [GO:0072488]; nitrogen utilization [GO:0019740]
P40310,cell periphery [GO:0071944]; monoatomic ion channel complex [GO:0034702]; plasma membrane [GO:0005886]; outward rectifier potassium channel activity [GO:0015271]; potassium channel activity [GO:0005267]; potassium ion leak channel activity [GO:0022841]; voltage-gated potassium channel activity [GO:0005249]; intracellular potassium ion homeostasis [GO:0030007]; potassium ion transmembrane transport [GO:0071805]; stabilization of membrane potential [GO:0030322]
P40312,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; sterol biosynthetic process [GO:0016126]
P40314,CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]; unfolded protein binding [GO:0051082]; 'de novo' cotranslational protein folding [GO:0051083]; cotranslational protein targeting to membrane [GO:0006613]; protein transport [GO:0015031]
P40351,"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity [GO:0042283]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein N-linked glycosylation [GO:0006487]"
P40354,mitochondrion [GO:0005739]; protein-N-terminal asparagine amidohydrolase activity [GO:0008418]; protein-N-terminal glutamine amidohydrolase activity [GO:0070773]; N-terminal protein amino acid modification [GO:0031365]; protein catabolic process [GO:0030163]
P40363,cytosol [GO:0005829]; carboxylic ester hydrolase activity [GO:0052689]; metal ion binding [GO:0046872]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294]
P40366,"CHRAC [GO:0008623]; chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; protein heterodimerization activity [GO:0046982]; chromatin remodeling [GO:0006338]; DNA-templated DNA replication [GO:0006261]; regulation of DNA-templated transcription [GO:0006355]; subtelomeric heterochromatin formation [GO:0031509]"
P40413,chaperonin-containing T-complex [GO:0005832]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; chaperone mediated protein folding independent of cofactor [GO:0051086]; protein folding [GO:0006457]
P40433,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; 6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]"
P40442,cell periphery [GO:0071944]; chromatin [GO:0000785]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; membrane [GO:0016020]; PTW/PP1 phosphatase complex [GO:0072357]; protein phosphatase 1 binding [GO:0008157]; membrane fusion [GO:0061025]; signal transduction [GO:0007165]; vesicle-mediated transport [GO:0016192]
P40452,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; mitochondrial cytochrome c oxidase assembly [GO:0033617]
P40459,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process [GO:0015940]
P40467,"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; positive regulation of transcription by RNA polymerase II [GO:0045944]"
P40468,cell cortex [GO:0005938]; cellular bud [GO:0005933]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]; site of polarized growth [GO:0030427]; budding cell apical bud growth [GO:0007118]; cell budding [GO:0007114]; cell morphogenesis [GO:0000902]
P40473,chromatin [GO:0000785]; nucleus [GO:0005634]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; cell division [GO:0051301]; positive regulation of transcription by RNA polymerase II [GO:0045944]; re-entry into mitotic cell cycle after pheromone arrest [GO:0000321]
P40474,cell periphery [GO:0071944]; plasma membrane [GO:0005886]; monoatomic cation transmembrane transporter activity [GO:0008324]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; copper ion export [GO:0060003]; potassium ion import across plasma membrane [GO:1990573]; transmembrane transport [GO:0055085]
P40475,cell periphery [GO:0071944]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; transmembrane transporter activity [GO:0022857]; ascospore wall assembly [GO:0030476]; transmembrane transport [GO:0055085]
P40480,nucleus [GO:0005634]; Set3 complex [GO:0034967]; cellular response to starvation [GO:0009267]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; negative regulation of meiotic nuclear division [GO:0045835]
P40481,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-L-histidine N-tele-methyltransferase activity [GO:0018064]; peptidyl-histidine methylation, to form tele-methylhistidine [GO:0042038]; positive regulation of translational fidelity [GO:0045903]; ribosomal large subunit assembly [GO:0000027]"
P40486,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; unfolded protein binding [GO:0051082]; box H/ACA snoRNP assembly [GO:0000493]
P40489,"cytoplasm [GO:0005737]; MBF transcription complex [GO:0030907]; nucleus [GO:0005634]; SBF transcription complex [GO:0033309]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; negative regulation of transcription by RNA polymerase II [GO:0000122]"
P40493,cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; rRNA base methylation [GO:0070475]
P40499,"cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; perinuclear endoplasmic reticulum [GO:0097038]; endoplasmic reticulum inheritance [GO:0048309]; intracellular zinc ion homeostasis [GO:0006882]; post-translational protein targeting to membrane, translocation [GO:0031204]; protein localization to nuclear inner membrane [GO:0036228]; septin ring assembly [GO:0000921]"
P40504,"Golgi apparatus [GO:0005794]; membrane [GO:0016020]; alpha-1,2-mannosyltransferase activity [GO:0000026]; mannosyltransferase activity [GO:0000030]; cell wall mannoprotein biosynthetic process [GO:0000032]; fungal-type cell wall organization [GO:0031505]; mannosylation [GO:0097502]; protein N-linked glycosylation [GO:0006487]"
P40512,COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; protein deneddylation [GO:0000338]; regulation of protein neddylation [GO:2000434]
P40516,cytoplasm [GO:0005737]; protein-lysine N-methyltransferase activity [GO:0016279]; methylation [GO:0032259]; vesicle-mediated transport [GO:0016192]
P40518,actin cortical patch [GO:0030479]; actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; actin filament binding [GO:0051015]; mRNA binding [GO:0003729]; protein-macromolecule adaptor activity [GO:0030674]; actin cortical patch organization [GO:0044396]; actin nucleation [GO:0045010]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; mitochondrion inheritance [GO:0000001]; regulation of actin filament polymerization [GO:0030833]
P40522,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]"
P40528,cytoplasm [GO:0005737]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; inositol hexakisphosphate binding [GO:0000822]; phosphate ion transmembrane transporter activity [GO:0015114]; cellular response to phosphate starvation [GO:0016036]; phosphate ion transport [GO:0006817]; signal transduction [GO:0007165]
P40532,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; lipid homeostasis [GO:0055088]; mRNA transport [GO:0051028]; nuclear envelope organization [GO:0006998]
P40537,nucleus [GO:0005634]; cysteine-type peptidase activity [GO:0008234]; deSUMOylase activity [GO:0016929]; transcription elongation factor activity [GO:0003711]; chromosome condensation [GO:0030261]; mitotic spindle assembly checkpoint signaling [GO:0007094]; plasmid maintenance [GO:0006276]; protein desumoylation [GO:0016926]; proteolysis [GO:0006508]
P40547,cytoplasm [GO:0005737]; GID complex [GO:0034657]; nucleus [GO:0005634]; vacuole [GO:0005773]; ascospore formation [GO:0030437]; negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process in the vacuole [GO:0007039]
P40549,"fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; alpha-1,3-mannosyltransferase activity [GO:0000033]; protein O-linked glycosylation [GO:0006493]"
P40550,cell periphery [GO:0071944]; membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sterol import [GO:0035376]
P40552,cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; side of membrane [GO:0098552]; structural constituent of cell wall [GO:0005199]; fungal-type cell wall organization [GO:0031505]
P40555,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome regulatory particle assembly [GO:0070682]
P40566,cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; steryl-beta-glucosidase activity [GO:0050295]; carbohydrate metabolic process [GO:0005975]; ergosteryl 3-beta-D-glucoside catabolic process [GO:1904462]
P40567,"nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U2 snRNA binding [GO:0030620]; mRNA splicing, via spliceosome [GO:0000398]; U2-type prespliceosome assembly [GO:1903241]"
P40574,"chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]"
P40576,INA complex [GO:1990524]; mitochondrial inner membrane [GO:0005743]; mitochondrial inner membrane assembly complex [GO:1990677]; mitochondrion [GO:0005739]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]
P40580,"cytoplasm [GO:0005737]; benzil reductase [(S)-benzoin-forming] activity [GO:0102306]; oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor [GO:0050664]"
P40582,cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]; protein glutathionylation [GO:0010731]
P40583,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]; aspartic-type endopeptidase activity [GO:0004190]; fungal-type cell wall organization [GO:0031505]; proteolysis [GO:0006508]
P40858,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]
P40884,"alpha-amylase activity [GO:0004556]; glucan 1,4-alpha-maltotriohydrolase activity [GO:0033934]; maltose alpha-glucosidase activity [GO:0032450]; oligo-1,6-glucosidase activity [GO:0004574]; sucrose alpha-glucosidase activity [GO:0004575]; disaccharide catabolic process [GO:0046352]; maltose catabolic process [GO:0000025]; sucrose catabolic process [GO:0005987]"
P40885,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; fructose transmembrane transporter activity [GO:0005353]; galactose transmembrane transporter activity [GO:0005354]; glucose transmembrane transporter activity [GO:0005355]; mannose transmembrane transporter activity [GO:0015578]; carbohydrate transport [GO:0008643]; hexose transmembrane transport [GO:0008645]
P40886,cell periphery [GO:0071944]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; fructose transmembrane transporter activity [GO:0005353]; glucose transmembrane transporter activity [GO:0005355]; mannose transmembrane transporter activity [GO:0015578]; carbohydrate transport [GO:0008643]; hexose transmembrane transport [GO:0008645]
P40890,cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleotide binding [GO:0000166]; signal sequence binding [GO:0005048]; Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; protein targeting to vacuole [GO:0006623]; protein transport [GO:0015031]
P40897,plasma membrane [GO:0005886]; oligopeptide transmembrane transporter activity [GO:0035673]; proton-dependent oligopeptide secondary active transmembrane transporter activity [GO:0005427]; oligopeptide transport [GO:0006857]; protein transport [GO:0015031]
P40960,cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; establishment of mitotic spindle localization [GO:0040001]; establishment of mitotic spindle orientation [GO:0000132]; nuclear migration along microtubule [GO:0030473]; transport along microtubule [GO:0010970]
P40965,MutSgamma complex [GO:0062128]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; mismatched DNA binding [GO:0030983]; reciprocal meiotic recombination [GO:0007131]
P40971,"nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; lysine biosynthetic process [GO:0009085]; positive regulation of lysine biosynthetic process via alpha-aminoadipate and saccharopine [GO:2001196]; positive regulation of transcription by RNA polymerase II [GO:0045944]"
